id,question,bert_precision,bert_recall,bert_F1
47,How can I remove a key from a Python dictionary?,0.8874,0.8064,0.8449
48,"Convert string ""Jun 1 2005 1:33PM"" into datetime",0.8615,0.8193,0.8399
49,How to upgrade all Python packages with pip,0.8592,0.8212,0.8398
50,How can I sort a list of dictionaries by a value of the dictionary in Python?,0.8795,0.8021,0.839
51,How to leave/exit/deactivate a Python virtualenv,0.8428,0.7942,0.8178
52,How do I get the last element of a list?,0.86,0.83,0.8447
53,How do I parse a string to a float or int?,0.8174,0.7513,0.783
54,How do I install pip on Windows?,0.8255,0.8255,0.8255
55,How do I get a substring of a string in Python?,0.8372,0.7844,0.81
56,How do I escape curly-brace ({}) characters characters in a string while using .format?,0.8519,0.818,0.8346
57,Check if a given key already exists in a dictionary,0.8436,0.8181,0.8307
58,Importing files from different folder,0.8415,0.8098,0.8254
59,Class (static) variables and methods,0.8376,0.8105,0.8238
60,How do I lowercase a string in Python?,0.8625,0.7619,0.8091
61,How can I check if an object has an attribute?,0.8416,0.7999,0.8202
62,How to print without a newline or space,0.8582,0.838,0.848
63,Calling a function of a module by using its name (a string),0.843,0.792,0.8167
64,Limiting floats to two decimal points,0.8342,0.8133,0.8236
65,How can I randomly select (choose) an item from a list (get a random element)?,0.8722,0.8172,0.8438
66,How to remove an element from a list by index,0.8622,0.8048,0.8325
67,Delete a column from a Pandas DataFrame,0.8702,0.8416,0.8557
68,How do I get the number of elements in a list (length of a list) in Python?,0.8717,0.7873,0.8273
69,"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?",0.8471,0.8437,0.8454
70,How do I pad a string with zeros?,0.8354,0.803,0.8189
71,How can I determine a Python variable's type?,0.8724,0.8162,0.8434
72,Delete an element from a dictionary,0.8325,0.7843,0.8077
73,Determine the type of an object?,0.8601,0.8368,0.8483
74,How to check if the string is empty in Python?,0.8629,0.8103,0.8358
75,How do I count the occurrences of a list item?,0.8712,0.799,0.8335
76,Why is reading lines from stdin much slower in C++ than Python?,0.8503,0.8406,0.8454
77,How do I measure elapsed time in Python?,0.8551,0.8201,0.8372
78,Why is it string.join(list) instead of list.join(string)?,0.8566,0.8027,0.8288
79,How do I append to a file?,0.8734,0.8011,0.8357
80,Is there a way to run Python on Android?,0.8582,0.8036,0.83
81,How can I remove a trailing newline?,0.8496,0.8119,0.8303
82,Static methods in Python?,0.8454,0.834,0.8397
83,Installing specific package version with pip,0.8106,0.8099,0.8103
84,How do I split the definition of a long string over multiple lines?,0.8298,0.8089,0.8192
85,How to prettyprint a JSON file?,0.8536,0.815,0.8339
86,Getting the class name of an instance,0.8522,0.8144,0.8329
87,How do I get the row count of a Pandas DataFrame?,0.8413,0.8157,0.8283
88,How to read a file line-by-line into a list?,0.8856,0.8478,0.8663
89,How do I check if a string represents a number (float or int)?,0.8434,0.7773,0.809
90,What's the canonical way to check for type in Python?,0.8481,0.8075,0.8273
