id,question,bert_precision,bert_recall,bert_F1
38,How do I change the size of figures drawn with Matplotlib?,0.8776,0.8199,0.8478
39,How do I concatenate two lists in Python?,0.8948,0.8656,0.88
40,How do I check if a list is empty?,0.8967,0.8382,0.8665
41,How do I make function decorators and chain them together,0.8045,0.8041,0.8043
42,How do I split a list into equally-sized chunks?,0.8575,0.8319,0.8445
43,Find the current directory and file's directory,0.8687,0.8684,0.8685
44,What is the difference between Python's list methods append and extend?,0.8909,0.8464,0.868
45,Renaming column names in Pandas,0.8429,0.847,0.845
46,"Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",0.8085,0.8389,0.8235
47,How can I remove a key from a Python dictionary?,0.8904,0.8228,0.8553
48,"Convert string ""Jun 1 2005 1:33PM"" into datetime",0.8645,0.8489,0.8566
49,How to upgrade all Python packages with pip,0.8457,0.8258,0.8356
50,How can I sort a list of dictionaries by a value of the dictionary in Python?,0.8841,0.8447,0.8639
51,How to leave/exit/deactivate a Python virtualenv,0.845,0.8323,0.8386
52,How do I get the last element of a list?,0.8579,0.8749,0.8663
53,How do I parse a string to a float or int?,0.8309,0.7689,0.7987
54,How do I install pip on Windows?,0.8328,0.8522,0.8424
55,How do I get a substring of a string in Python?,0.8228,0.8019,0.8122
56,How do I escape curly-brace ({}) characters characters in a string while using .format?,0.8654,0.8454,0.8553
57,Check if a given key already exists in a dictionary,0.838,0.8352,0.8366
58,Importing files from different folder,0.8484,0.8117,0.8297
59,Class (static) variables and methods,0.8404,0.8198,0.83
60,How do I lowercase a string in Python?,0.8507,0.7872,0.8177
61,How can I check if an object has an attribute?,0.8435,0.8354,0.8394
62,How to print without a newline or space,0.8488,0.8509,0.8499
63,Calling a function of a module by using its name (a string),0.8483,0.8032,0.8251
64,Limiting floats to two decimal points,0.8288,0.8255,0.8271
65,How can I randomly select (choose) an item from a list (get a random element)?,0.8685,0.8316,0.8496
66,How to remove an element from a list by index,0.8528,0.8065,0.829
67,Delete a column from a Pandas DataFrame,0.8673,0.8492,0.8582
68,How do I get the number of elements in a list (length of a list) in Python?,0.8926,0.8445,0.8679
69,"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?",0.8373,0.8434,0.8403
70,How do I pad a string with zeros?,0.8262,0.7988,0.8122
71,How can I determine a Python variable's type?,0.8616,0.8481,0.8548
72,Delete an element from a dictionary,0.8422,0.8201,0.831
73,Determine the type of an object?,0.832,0.8465,0.8392
74,How to check if the string is empty in Python?,0.8547,0.8378,0.8462
75,How do I count the occurrences of a list item?,0.8652,0.832,0.8483
76,Why is reading lines from stdin much slower in C++ than Python?,0.8414,0.8332,0.8373
77,How do I measure elapsed time in Python?,0.8498,0.8392,0.8445
78,Why is it string.join(list) instead of list.join(string)?,0.8377,0.8218,0.8297
79,How do I append to a file?,0.8805,0.8356,0.8575
80,Is there a way to run Python on Android?,0.8648,0.8102,0.8366
81,How can I remove a trailing newline?,0.8436,0.8527,0.8482
82,Static methods in Python?,0.8312,0.8447,0.8379
83,Installing specific package version with pip,0.8075,0.841,0.8239
84,How do I split the definition of a long string over multiple lines?,0.836,0.8365,0.8362
85,How to prettyprint a JSON file?,0.8492,0.8386,0.8439
86,Getting the class name of an instance,0.8617,0.8603,0.861
87,How do I get the row count of a Pandas DataFrame?,0.8424,0.8433,0.8428
88,How to read a file line-by-line into a list?,0.8921,0.8622,0.8768
89,How do I check if a string represents a number (float or int)?,0.8402,0.7855,0.8119
90,What's the canonical way to check for type in Python?,0.8499,0.8371,0.8434
