id,question,bert_precision,bert_recall,bert_F1
33,How do I pass a variable by reference?,0.8247,0.8092,0.8169
34,How do I print colored text to the terminal?,0.808,0.7959,0.8019
35,Manually raising (throwing) an exception in Python,0.8258,0.8302,0.828
36,Understanding Python super() with __init__() methods,0.8429,0.7875,0.8142
37,How do I make a time delay?,0.857,0.7844,0.8191
38,How do I change the size of figures drawn with Matplotlib?,0.8508,0.793,0.8209
39,How do I concatenate two lists in Python?,0.8872,0.8043,0.8437
40,How do I check if a list is empty?,0.8774,0.7695,0.8199
41,How do I make function decorators and chain them together,0.8128,0.8069,0.8098
42,How do I split a list into equally-sized chunks?,0.7771,0.7951,0.786
43,Find the current directory and file's directory,0.8601,0.8258,0.8426
44,What is the difference between Python's list methods append and extend?,0.8724,0.801,0.8352
45,Renaming column names in Pandas,0.8115,0.8153,0.8134
46,"Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",0.8236,0.823,0.8233
47,How can I remove a key from a Python dictionary?,0.8733,0.794,0.8318
48,"Convert string ""Jun 1 2005 1:33PM"" into datetime",0.857,0.8082,0.8319
49,How to upgrade all Python packages with pip,0.8234,0.8073,0.8152
50,How can I sort a list of dictionaries by a value of the dictionary in Python?,0.8489,0.767,0.8059
51,How to leave/exit/deactivate a Python virtualenv,0.834,0.7775,0.8048
52,How do I get the last element of a list?,0.8673,0.8264,0.8464
53,How do I parse a string to a float or int?,0.8173,0.743,0.7784
54,How do I install pip on Windows?,0.8347,0.8289,0.8318
55,How do I get a substring of a string in Python?,0.8287,0.7717,0.7992
56,How do I escape curly-brace ({}) characters characters in a string while using .format?,0.8519,0.796,0.823
57,Check if a given key already exists in a dictionary,0.8321,0.8019,0.8167
58,Importing files from different folder,0.8482,0.8097,0.8285
59,Class (static) variables and methods,0.8281,0.7957,0.8115
60,How do I lowercase a string in Python?,0.8528,0.7409,0.7929
61,How can I check if an object has an attribute?,0.8341,0.7872,0.81
62,How to print without a newline or space,0.8289,0.8063,0.8175
63,Calling a function of a module by using its name (a string),0.8361,0.7763,0.8051
64,Limiting floats to two decimal points,0.8256,0.811,0.8182
65,How can I randomly select (choose) an item from a list (get a random element)?,0.8649,0.8065,0.8347
66,How to remove an element from a list by index,0.8423,0.7757,0.8076
67,Delete a column from a Pandas DataFrame,0.8605,0.8169,0.8381
68,How do I get the number of elements in a list (length of a list) in Python?,0.8716,0.7659,0.8153
69,"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?",0.8328,0.8146,0.8236
70,How do I pad a string with zeros?,0.8038,0.7816,0.7926
71,How can I determine a Python variable's type?,0.8513,0.7944,0.8219
72,Delete an element from a dictionary,0.8296,0.7753,0.8016
73,Determine the type of an object?,0.8543,0.8222,0.838
74,How to check if the string is empty in Python?,0.8456,0.7776,0.8102
75,How do I count the occurrences of a list item?,0.8646,0.7925,0.827
76,Why is reading lines from stdin much slower in C++ than Python?,0.8439,0.8199,0.8318
77,How do I measure elapsed time in Python?,0.8517,0.8155,0.8332
78,Why is it string.join(list) instead of list.join(string)?,0.8348,0.7936,0.8137
79,How do I append to a file?,0.8575,0.788,0.8213
80,Is there a way to run Python on Android?,0.8773,0.805,0.8396
81,How can I remove a trailing newline?,0.841,0.8052,0.8227
82,Static methods in Python?,0.8268,0.8123,0.8195
83,Installing specific package version with pip,0.7986,0.7835,0.791
84,How do I split the definition of a long string over multiple lines?,0.8262,0.8065,0.8162
85,How to prettyprint a JSON file?,0.8477,0.8055,0.826
86,Getting the class name of an instance,0.8432,0.7948,0.8183
87,How do I get the row count of a Pandas DataFrame?,0.8285,0.7923,0.81
88,How to read a file line-by-line into a list?,0.8804,0.8256,0.8521
89,How do I check if a string represents a number (float or int)?,0.8163,0.7618,0.7881
90,What's the canonical way to check for type in Python?,0.8474,0.7996,0.8228
