id,question,bert_precision,bert_recall,bert_F1
45,Renaming column names in Pandas,0.8125,0.8231,0.8178
46,"Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",0.826,0.8279,0.8269
47,How can I remove a key from a Python dictionary?,0.8634,0.8117,0.8367
48,"Convert string ""Jun 1 2005 1:33PM"" into datetime",0.8526,0.816,0.8339
49,How to upgrade all Python packages with pip,0.8233,0.816,0.8196
50,How can I sort a list of dictionaries by a value of the dictionary in Python?,0.8493,0.8049,0.8265
51,How to leave/exit/deactivate a Python virtualenv,0.8293,0.8029,0.8159
52,How do I get the last element of a list?,0.8405,0.8121,0.8261
53,How do I parse a string to a float or int?,0.7935,0.7435,0.7677
54,How do I install pip on Windows?,0.8333,0.8374,0.8353
55,How do I get a substring of a string in Python?,0.8077,0.7828,0.795
56,How do I escape curly-brace ({}) characters characters in a string while using .format?,0.8467,0.8077,0.8268
57,Check if a given key already exists in a dictionary,0.8097,0.7986,0.8041
58,Importing files from different folder,0.8473,0.8235,0.8353
59,Class (static) variables and methods,0.8201,0.8162,0.8181
60,How do I lowercase a string in Python?,0.8519,0.7673,0.8074
61,How can I check if an object has an attribute?,0.8465,0.8093,0.8275
62,How to print without a newline or space,0.8345,0.8196,0.8269
63,Calling a function of a module by using its name (a string),0.8455,0.7821,0.8126
64,Limiting floats to two decimal points,0.8209,0.8236,0.8223
65,How can I randomly select (choose) an item from a list (get a random element)?,0.8434,0.7988,0.8205
66,How to remove an element from a list by index,0.8265,0.7891,0.8074
67,Delete a column from a Pandas DataFrame,0.8529,0.8171,0.8346
68,How do I get the number of elements in a list (length of a list) in Python?,0.8607,0.7887,0.8231
69,"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?",0.8451,0.8448,0.8449
70,How do I pad a string with zeros?,0.7848,0.779,0.7819
71,How can I determine a Python variable's type?,0.8438,0.8027,0.8228
72,Delete an element from a dictionary,0.8265,0.801,0.8135
73,Determine the type of an object?,0.847,0.8236,0.8351
74,How to check if the string is empty in Python?,0.8541,0.7992,0.8258
75,How do I count the occurrences of a list item?,0.8666,0.809,0.8368
76,Why is reading lines from stdin much slower in C++ than Python?,0.8247,0.8113,0.8179
77,How do I measure elapsed time in Python?,0.8516,0.8272,0.8392
78,Why is it string.join(list) instead of list.join(string)?,0.8223,0.7985,0.8102
79,How do I append to a file?,0.8557,0.7969,0.8253
80,Is there a way to run Python on Android?,0.8448,0.79,0.8165
81,How can I remove a trailing newline?,0.8414,0.8063,0.8235
82,Static methods in Python?,0.8214,0.8234,0.8224
83,Installing specific package version with pip,0.8062,0.8069,0.8066
84,How do I split the definition of a long string over multiple lines?,0.8163,0.8101,0.8132
85,How to prettyprint a JSON file?,0.8017,0.8027,0.8022
86,Getting the class name of an instance,0.8401,0.8074,0.8234
87,How do I get the row count of a Pandas DataFrame?,0.8198,0.7998,0.8097
88,How to read a file line-by-line into a list?,0.8544,0.8174,0.8355
89,How do I check if a string represents a number (float or int)?,0.805,0.7774,0.791
90,What's the canonical way to check for type in Python?,0.8433,0.8171,0.83
